Terytorium;Przyst¹pi³o_zda³o;P³eæ;Rok;Liczba osób
Ma³opolskie;zda³o;kobiety;2018;11580
Mazowieckie;przyst¹pi³o;mê¿czyŸni;2010;22265
Mazowieckie;przyst¹pi³o;kobiety;2010;27651
Mazowieckie;przyst¹pi³o;mê¿czyŸni;2011;20920
Mazowieckie;przyst¹pi³o;kobiety;2011;26010
Mazowieckie;przyst¹pi³o;mê¿czyŸni;2012;20796
Mazowieckie;przyst¹pi³o;kobiety;2012;25683
Mazowieckie;przyst¹pi³o;mê¿czyŸni;2013;20071
Mazowieckie;przyst¹pi³o;kobiety;2013;24151
Mazowieckie;przyst¹pi³o;mê¿czyŸni;2014;19384
Mazowieckie;przyst¹pi³o;kobiety;2014;23365
Mazowieckie;przyst¹pi³o;mê¿czyŸni;2015;18074
Mazowieckie;przyst¹pi³o;kobiety;2015;21622
Mazowieckie;przyst¹pi³o;mê¿czyŸni;2016;17140
Mazowieckie;przyst¹pi³o;kobiety;2016;20468
Mazowieckie;przyst¹pi³o;mê¿czyŸni;2017;17474
Mazowieckie;przyst¹pi³o;kobiety;2017;20174
Mazowieckie;przyst¹pi³o;mê¿czyŸni;2018;17099
Mazowieckie;przyst¹pi³o;kobiety;2018;19815
Mazowieckie;zda³o;mê¿czyŸni;2010;18015
Mazowieckie;zda³o;kobiety;2010;22719
Mazowieckie;zda³o;mê¿czyŸni;2011;15920
Mazowieckie;zda³o;kobiety;2011;19934
Mazowieckie;zda³o;mê¿czyŸni;2012;16628
Mazowieckie;zda³o;kobiety;2012;20818
Mazowieckie;zda³o;mê¿czyŸni;2013;16004
Mazowieckie;zda³o;kobiety;2013;19783
Mazowieckie;zda³o;mê¿czyŸni;2014;13571
Mazowieckie;zda³o;kobiety;2014;16901
Mazowieckie;zda³o;mê¿czyŸni;2015;13439
Mazowieckie;zda³o;kobiety;2015;16255
Mazowieckie;zda³o;mê¿czyŸni;2016;13982
Mazowieckie;zda³o;kobiety;2016;16672
Mazowieckie;zda³o;mê¿czyŸni;2017;13953
Mazowieckie;zda³o;kobiety;2017;16290
Mazowieckie;zda³o;mê¿czyŸni;2018;13712
Mazowieckie;zda³o;kobiety;2018;16256
Opolskie;przyst¹pi³o;mê¿czyŸni;2010;4148
Opolskie;przyst¹pi³o;kobiety;2010;5067
Opolskie;przyst¹pi³o;mê¿czyŸni;2011;3597
Opolskie;przyst¹pi³o;kobiety;2011;4638
Opolskie;przyst¹pi³o;mê¿czyŸni;2012;3502
Opolskie;przyst¹pi³o;kobiety;2012;4378
Opolskie;przyst¹pi³o;mê¿czyŸni;2013;3303
Opolskie;przyst¹pi³o;kobiety;2013;4104
Opolskie;przyst¹pi³o;mê¿czyŸni;2014;2970
Opolskie;przyst¹pi³o;kobiety;2014;3863
Opolskie;przyst¹pi³o;mê¿czyŸni;2015;2888
Opolskie;przyst¹pi³o;kobiety;2015;3488
Opolskie;przyst¹pi³o;mê¿czyŸni;2016;2665
Opolskie;przyst¹pi³o;kobiety;2016;3446
Opolskie;przyst¹pi³o;mê¿czyŸni;2017;2686
Opolskie;przyst¹pi³o;kobiety;2017;3385
Opolskie;przyst¹pi³o;mê¿czyŸni;2018;2522
Opolskie;przyst¹pi³o;kobiety;2018;3035
Opolskie;zda³o;mê¿czyŸni;2010;3368
Opolskie;zda³o;kobiety;2010;4185
Opolskie;zda³o;mê¿czyŸni;2011;2661
Opolskie;zda³o;kobiety;2011;3510
Opolskie;zda³o;mê¿czyŸni;2012;2756
Opolskie;zda³o;kobiety;2012;3533
Opolskie;zda³o;mê¿czyŸni;2013;2610
Opolskie;zda³o;kobiety;2013;3375
Opolskie;zda³o;mê¿czyŸni;2014;2019
Opolskie;zda³o;kobiety;2014;2754
Opolskie;zda³o;mê¿czyŸni;2015;2188
Opolskie;zda³o;kobiety;2015;2622
Opolskie;zda³o;mê¿czyŸni;2016;2132
Opolskie;zda³o;kobiety;2016;2708
Opolskie;zda³o;mê¿czyŸni;2017;2093
Opolskie;zda³o;kobiety;2017;2619
Opolskie;zda³o;mê¿czyŸni;2018;1971
Opolskie;zda³o;kobiety;2018;2384
Podkarpackie;przyst¹pi³o;mê¿czyŸni;2010;10459
Podkarpackie;przyst¹pi³o;kobiety;2010;13194
Podkarpackie;przyst¹pi³o;mê¿czyŸni;2011;9937
Podkarpackie;przyst¹pi³o;kobiety;2011;12784
Podkarpackie;przyst¹pi³o;mê¿czyŸni;2012;9405
Podkarpackie;przyst¹pi³o;kobiety;2012;12344
Podkarpackie;przyst¹pi³o;mê¿czyŸni;2013;8959
Podkarpackie;przyst¹pi³o;kobiety;2013;11403
Podkarpackie;przyst¹pi³o;mê¿czyŸni;2014;8437
Podkarpackie;przyst¹pi³o;kobiety;2014;10449
Podkarpackie;przyst¹pi³o;mê¿czyŸni;2015;8154
Podkarpackie;przyst¹pi³o;kobiety;2015;9826
Podkarpackie;przyst¹pi³o;mê¿czyŸni;2016;7463
Podkarpackie;przyst¹pi³o;kobiety;2016;9373
Podkarpackie;przyst¹pi³o;mê¿czyŸni;2017;7575
Podkarpackie;przyst¹pi³o;kobiety;2017;9385
Podkarpackie;przyst¹pi³o;mê¿czyŸni;2018;7244
Podkarpackie;przyst¹pi³o;kobiety;2018;8667
Podkarpackie;zda³o;mê¿czyŸni;2010;8263
Podkarpackie;zda³o;kobiety;2010;10890
Podkarpackie;zda³o;mê¿czyŸni;2011;7303
Podkarpackie;zda³o;kobiety;2011;9632
Podkarpackie;zda³o;mê¿czyŸni;2012;7408
Podkarpackie;zda³o;kobiety;2012;9900
Podkarpackie;zda³o;mê¿czyŸni;2013;7056
Podkarpackie;zda³o;kobiety;2013;9485
Podkarpackie;zda³o;mê¿czyŸni;2014;5678
Podkarpackie;zda³o;kobiety;2014;7663
Podkarpackie;zda³o;mê¿czyŸni;2015;6035
Podkarpackie;zda³o;kobiety;2015;7394
Podkarpackie;zda³o;mê¿czyŸni;2016;5870
Podkarpackie;zda³o;kobiety;2016;7608
Podkarpackie;zda³o;mê¿czyŸni;2017;5850
Podkarpackie;zda³o;kobiety;2017;7355
Podkarpackie;zda³o;mê¿czyŸni;2018;5712
Podkarpackie;zda³o;kobiety;2018;7112
Podlaskie;przyst¹pi³o;mê¿czyŸni;2010;6004
Podlaskie;przyst¹pi³o;kobiety;2010;7371
Podlaskie;przyst¹pi³o;mê¿czyŸni;2011;5643
Podlaskie;przyst¹pi³o;kobiety;2011;6970
Podlaskie;przyst¹pi³o;mê¿czyŸni;2012;5483
Podlaskie;przyst¹pi³o;kobiety;2012;6721
Podlaskie;przyst¹pi³o;mê¿czyŸni;2013;5360
Podlaskie;przyst¹pi³o;kobiety;2013;6375
Podlaskie;przyst¹pi³o;mê¿czyŸni;2014;4867
Podlaskie;przyst¹pi³o;kobiety;2014;5907
Podlaskie;przyst¹pi³o;mê¿czyŸni;2015;4441
Podlaskie;przyst¹pi³o;kobiety;2015;5390
Podlaskie;przyst¹pi³o;mê¿czyŸni;2016;4112
Podlaskie;przyst¹pi³o;kobiety;2016;5032
Podlaskie;przyst¹pi³o;mê¿czyŸni;2017;4108
Podlaskie;przyst¹pi³o;kobiety;2017;4824
Podlaskie;przyst¹pi³o;mê¿czyŸni;2018;3797
Podlaskie;przyst¹pi³o;kobiety;2018;4624
Podlaskie;zda³o;mê¿czyŸni;2010;4785
Podlaskie;zda³o;kobiety;2010;6024
Podlaskie;zda³o;mê¿czyŸni;2011;4271
Podlaskie;zda³o;kobiety;2011;5412
Podlaskie;zda³o;mê¿czyŸni;2012;4429
Podlaskie;zda³o;kobiety;2012;5545
Podlaskie;zda³o;mê¿czyŸni;2013;4294
Podlaskie;zda³o;kobiety;2013;5309
Podlaskie;zda³o;mê¿czyŸni;2014;3380
Podlaskie;zda³o;kobiety;2014;4474
Podlaskie;zda³o;mê¿czyŸni;2015;3253
Podlaskie;zda³o;kobiety;2015;4164
Podlaskie;zda³o;mê¿czyŸni;2016;3277
Podlaskie;zda³o;kobiety;2016;4120
Podlaskie;zda³o;mê¿czyŸni;2017;3292
Podlaskie;zda³o;kobiety;2017;3891
Podlaskie;zda³o;mê¿czyŸni;2018;3028
Podlaskie;zda³o;kobiety;2018;3809
Pomorskie;przyst¹pi³o;mê¿czyŸni;2010;9165
Pomorskie;przyst¹pi³o;kobiety;2010;11798
Pomorskie;przyst¹pi³o;mê¿czyŸni;2011;8546
Pomorskie;przyst¹pi³o;kobiety;2011;10811
Pomorskie;przyst¹pi³o;mê¿czyŸni;2012;8110
Pomorskie;przyst¹pi³o;kobiety;2012;10329
Pomorskie;przyst¹pi³o;mê¿czyŸni;2013;7735
Pomorskie;przyst¹pi³o;kobiety;2013;9820
Pomorskie;przyst¹pi³o;mê¿czyŸni;2014;7264
Pomorskie;przyst¹pi³o;kobiety;2014;9173
Pomorskie;przyst¹pi³o;mê¿czyŸni;2015;7054
Pomorskie;przyst¹pi³o;kobiety;2015;8910
